"species","breed_name","color","name","actual_card_num","sex","birth_date"
2,"СФИНКС КАНАДСКИЙ","КРАСНЫЙ","ЕВРО",9332,1,20090730
1,"ХАСКИ","ПОРОДНЫЙ","АЛЬФА",13881,2,20131105
2,"МЕТИС","БЕЛЫЙ","ТИМА",4908,1,20130502
2,"СКОТТИШ-ФОЛД","ГОЛУБОЙ","РИЧАРД",13320,1,20130905
1,"ЛАЙКА ЗАПАДНО-СИБИРСКАЯ","ПОРОДНЫЙ","ЯКУТ",474,1,20091116
2,"МЕТИС","РЫЖИЙ","КУЗЬМА",4828,1,20130412
2,"МЕТИС","СЕРЫЙ ТАББИ БИКОЛ","БАСЯ",4867,2,20120430
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","СТАЛЬ С ЗОЛОТОМ","СОФИЯ",4866,2,20130301
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ТОНИ",4803,1,20130706
1,"ТАКСА СТАНДАРТНАЯ ГЛАДКОШЕРСТНАЯ","ЧЕПРАЧНЫЙ","КЕКС",5610,1,20120320
1,"СПАНИЕЛЬ АМЕРИКАНСКИЙ КОКЕР","ШОКОЛАДНЫЙ","РУДОЛЬФ",4955,1,20110609
1,"ХАСКИ","ПОРОДНЫЙ","РУНИ",13997,1,20140225
2,"МЕТИС","СЕРЫЙ ТАББИ БИК","БОНИФАЦИЙ",13998,3,20130301
2,"МЕТИС","РЫЖИЙ","ЛИЗА",5503,2,20140912
1,"РЕТРИВЕР ЛАБРАДОР","ЗОЛОТО","ФОГИ",5437,1,20140302
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МИШКА",2941,1,20130110
1,"ТАКСА СТАНДАРТНАЯ ГЛАДКОШЕРСТНАЯ","РЫЖИЙ","ЧАРЛИ",14002,1,20140312
1,"АКИТА-ИНУ","БЕЛАЯ","ИНДА",14004,2,20140115
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕПРАК","ПАНЧ",5605,1,20140309
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЛИЛОВЫЙ","ВИСКИ",5239,2,20150509
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРНЫЙ СЕРЕБРО ПЯТ","СОНЯ",5339,2,20140901
1,"ТАКСА КАРЛИКОВАЯ ГЛАДКОШЕРСТНАЯ","ШОКОЛАД","МАРЛИ",5236,1,20131107
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ЛИЛИ",5233,2,20080924
2,"МЕТИС","СЕРЫЙ ТАББИ БИК","ТЭДДИ",5597,4,20150301
2,"МЕТИС","КРАСНЫЙ ТАББИ","ВАСЯ",731,3,20000615
1,"ШПИЦ ПОМЕРАНЦЕВЫЙ","КРАСНЫЙ","БОНИ",5232,1,20150703
2,"НЕВСКАЯ МАСКАРАДНАЯ","ПОРОДНЫЙ","БАСЯ",5338,2,20140619
2,"СКОТТИШ-ФОЛД","МРАМОР","ЭМИЛЬ",5213,1,20150203
1,"РЕТРИВЕР ЛАБРАДОР","ЗОЛОТИСТЫЙ","ШЕРИ",5212,2,20150704
2,"МЕТИС","ЧЕРНЫЙ","БЛЭК",5211,3,20120615
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ЛЯЛЯ",5161,2,20141110
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ЛЮСЯ",5337,2,20130527
